RedFighter,RedNationality,BlueFighter,BlueNationality,Date,Location,Country,Winner,TitleBout,WeightClass,WinnerNationality,Loser,LoserNationality
Rob Wilkinson,Australia,Israel Adesanya,New Zealand,2018-02-10,"Perth, Western Australia, Australia", Australia,Blue,False,Middleweight,New Zealand,Rob Wilkinson,Australia
Alexander Volkanovski,Australia,Jeremy Kennedy,Canada,2018-02-10,"Perth, Western Australia, Australia", Australia,Red,False,Featherweight,Australia,Jeremy Kennedy,Canada
Jussier Formiga,United States of America,Ben Nguyen,Australia,2018-02-10,"Perth, Western Australia, Australia", Australia,Red,False,Flyweight,United States of America,Ben Nguyen,Australia
Paige VanZant,United States of America,Jessica-Rose Clark,Australia,2018-01-14,"St. Louis, Missouri, USA", USA,Blue,False,Women's Flyweight,Australia,Paige VanZant,United States of America
Bec Rawlings,Australia,Jessica-Rose Clark,Australia,2017-11-18,"Sydney, New South Wales, Australia", Australia,Blue,False,Women's Flyweight,Australia,Bec Rawlings,Australia
Jake Matthews,Australia,Bojan Velickovic,United States of America,2017-11-18,"Sydney, New South Wales, Australia", Australia,Red,False,Welterweight,Australia,Bojan Velickovic,United States of America
Elias Theodorou,Canada,Daniel Kelly,Australia,2017-11-18,"Sydney, New South Wales, Australia", Australia,Red,False,Middleweight,Canada,Daniel Kelly,Australia
Alexander Volkanovski,Australia,Shane Young,New Zealand,2017-11-18,"Sydney, New South Wales, Australia", Australia,Red,False,Catch Weight,Australia,Shane Young,New Zealand
Ryan Benoit,United States of America,Ashkan Mokhtarian,Australia,2017-11-18,"Sydney, New South Wales, Australia", Australia,Red,False,Flyweight,United States of America,Ashkan Mokhtarian,Australia
Rashad Coulter,United States of America,Tai Tuivasa,Australia,2017-11-18,"Sydney, New South Wales, Australia", Australia,Blue,False,Heavyweight,Australia,Rashad Coulter,United States of America
Damien Brown,Australia,Frank Camacho,Northern Mariana Islands,2017-11-18,"Sydney, New South Wales, Australia", Australia,Blue,False,Lightweight,Northern Mariana Islands,Damien Brown,Australia
Alex Chambers,Australia,Nadia Kassem,Australia,2017-11-18,"Sydney, New South Wales, Australia", Australia,Blue,False,Women's Strawweight,Australia,Alex Chambers,Australia
Ilir Latifi,Sweden,Tyson Pedro,Australia,2017-09-09,"Edmonton, Alberta, Canada", Canada,Red,False,Light Heavyweight,Sweden,Tyson Pedro,Australia
Siyar Bahadurzada,Netherlands,Rob Wilkinson,Australia,2017-09-02,"Rotterdam, Zuid-Holland, Netherlands", Netherlands,Red,False,Middleweight,Netherlands,Rob Wilkinson,Australia
Yoel Romero,United States of America,Robert Whittaker,Australia,2017-07-08,"Las Vegas, Nevada, USA", USA,Blue,True,Middleweight,Australia,Yoel Romero,United States of America
Derrick Lewis,United States of America,Mark Hunt,Australia,2017-06-10,"Auckland, New Zealand", New Zealand,Blue,False,Heavyweight,Australia,Derrick Lewis,United States of America
Derek Brunson,United States of America,Daniel Kelly,Australia,2017-06-10,"Auckland, New Zealand", New Zealand,Red,False,Middleweight,United States of America,Daniel Kelly,Australia
Tim Elliott,United States of America,Ben Nguyen,Australia,2017-06-10,"Auckland, New Zealand", New Zealand,Blue,False,Flyweight,Australia,Tim Elliott,United States of America
Alexander Volkanovski,Australia,Mizuto Hirota,Japan,2017-06-10,"Auckland, New Zealand", New Zealand,Red,False,Featherweight,Australia,Mizuto Hirota,Japan
Damien Brown,Australia,Vinc Pichel,United States of America,2017-06-10,"Auckland, New Zealand", New Zealand,Blue,False,Lightweight,United States of America,Damien Brown,Australia
John Moraga,United States of America,Ashkan Mokhtarian,Australia,2017-06-10,"Auckland, New Zealand", New Zealand,Red,False,Flyweight,United States of America,Ashkan Mokhtarian,Australia
Jacare Souza,Brazil,Robert Whittaker,Australia,2017-04-15,"Kansas City, Missouri, USA", USA,Blue,False,Middleweight,Australia,Jacare Souza,Brazil
Rashad Evans,United States of America,Daniel Kelly,Australia,2017-03-04,"Las Vegas, Nevada, USA", USA,Blue,False,Middleweight,Australia,Rashad Evans,United States of America
Alistair Overeem,Netherlands,Mark Hunt,Australia,2017-03-04,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,Netherlands,Mark Hunt,Australia
Tyson Pedro,Australia,Paul Craig,United Kingdom,2017-03-04,"Las Vegas, Nevada, USA", USA,Red,False,Light Heavyweight,Australia,Paul Craig,United Kingdom
Tecia Torres,United States of America,Bec Rawlings,Australia,2017-02-04,"Houston, Texas, USA", USA,Red,False,Women's Strawweight,United States of America,Bec Rawlings,Australia
Dong Hyun Ma,South Korea,Brendan O'Reilly,Australia,2016-12-03,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,South Korea,Brendan O'Reilly,Australia
Robert Whittaker,Australia,Derek Brunson,United States of America,2016-11-26,"Melbourne, Victoria, Australia", Australia,Red,False,Middleweight,Australia,Derek Brunson,United States of America
Jake Matthews,Australia,Andrew Holbrook,United States of America,2016-11-26,"Melbourne, Victoria, Australia", Australia,Blue,False,Lightweight,United States of America,Jake Matthews,Australia
Yusuke Kasuya,Japan,Alexander Volkanovski,Australia,2016-11-26,"Melbourne, Victoria, Australia", Australia,Blue,False,Lightweight,Australia,Yusuke Kasuya,Japan
Khalil Rountree Jr.,United States of America,Tyson Pedro,Australia,2016-11-26,"Melbourne, Victoria, Australia", Australia,Blue,False,Light Heavyweight,Australia,Khalil Rountree Jr.,United States of America
Daniel Kelly,Australia,Chris Camozzi,United States of America,2016-11-26,"Melbourne, Victoria, Australia", Australia,Red,False,Middleweight,Australia,Chris Camozzi,United States of America
Damien Brown,Australia,Jon Tuck,Guam,2016-11-26,"Melbourne, Victoria, Australia", Australia,Red,False,Lightweight,Australia,Jon Tuck,Guam
Richard Walsh,Australia,Jonathan Meunier,Canada,2016-11-26,"Melbourne, Victoria, Australia", Australia,Blue,False,Welterweight,Canada,Richard Walsh,Australia
Ben Nguyen,Australia,Geane Herrera,United States of America,2016-11-26,"Melbourne, Victoria, Australia", Australia,Red,False,Flyweight,Australia,Geane Herrera,United States of America
Paige VanZant,United States of America,Bec Rawlings,Australia,2016-08-27,"Vancouver, British Columbia, Canada", Canada,Red,False,Women's Strawweight,United States of America,Bec Rawlings,Australia
Cesar Arzamendia,Paraguay,Damien Brown,Australia,2016-07-30,"Atlanta, Georgia, USA", USA,Blue,False,Lightweight,Australia,Cesar Arzamendia,Paraguay
Louis Smolka,United States of America,Ben Nguyen,Australia,2016-07-13,"Sioux Falls, South Dakota, USA", USA,Red,False,Flyweight,United States of America,Ben Nguyen,Australia
Jake Matthews,Australia,Kevin Lee,United States of America,2016-07-08,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,United States of America,Jake Matthews,Australia
Robert Whittaker,Australia,Rafael Natal,United States of America,2016-04-23,"Las Vegas, Nevada, USA", USA,Red,False,Middleweight,Australia,Rafael Natal,United States of America
Mark Hunt,Australia,Frank Mir,United States of America,2016-03-19,"Brisbane, Queensland, Australia", Australia,Red,False,Heavyweight,Australia,Frank Mir,United States of America
Jake Matthews,Australia,Johnny Case,United States of America,2016-03-19,"Brisbane, Queensland, Australia", Australia,Red,False,Lightweight,Australia,Johnny Case,United States of America
Daniel Kelly,Australia,Antonio Carlos Junior,Brazil,2016-03-19,"Brisbane, Queensland, Australia", Australia,Red,False,Middleweight,Australia,Antonio Carlos Junior,Brazil
James Te Huna,Australia,Steve Bosse,Canada,2016-03-19,"Brisbane, Queensland, Australia", Australia,Blue,False,Light Heavyweight,Canada,James Te Huna,Australia
Bec Rawlings,Australia,Seohee Ham,South Korea,2016-03-19,"Brisbane, Queensland, Australia", Australia,Red,False,Women's Strawweight,Australia,Seohee Ham,South Korea
Brendan O'Reilly,Australia,Alan Jouban,United States of America,2016-03-19,"Brisbane, Queensland, Australia", Australia,Blue,False,Welterweight,United States of America,Brendan O'Reilly,Australia
Richard Walsh,Australia,Viscardi Andrade,Brazil,2016-03-19,"Brisbane, Queensland, Australia", Australia,Blue,False,Welterweight,Brazil,Richard Walsh,Australia
Alan Patrick,Brazil,Damien Brown,Australia,2016-03-19,"Brisbane, Queensland, Australia", Australia,Red,False,Lightweight,Brazil,Damien Brown,Australia
Mark Hunt,Australia,Antonio Silva,Brazil,2015-11-14,"Melbourne, Victoria, Australia", Australia,Red,False,Heavyweight,Australia,Antonio Silva,Brazil
Uriah Hall,United States of America,Robert Whittaker,Australia,2015-11-14,"Melbourne, Victoria, Australia", Australia,Blue,False,Middleweight,Australia,Uriah Hall,United States of America
Jake Matthews,Australia,Akbarh Arreola,United States of America,2015-11-14,"Melbourne, Victoria, Australia", Australia,Red,False,Lightweight,Australia,Akbarh Arreola,United States of America
Anthony Perosh,Australia,Gian Villante,United States of America,2015-11-14,"Melbourne, Victoria, Australia", Australia,Blue,False,Light Heavyweight,United States of America,Anthony Perosh,Australia
Richie Vaculik,Australia,Danny Martinez,United States of America,2015-11-14,"Melbourne, Victoria, Australia", Australia,Blue,False,Flyweight,United States of America,Richie Vaculik,Australia
Daniel Kelly,Australia,Steve Montgomery,United States of America,2015-11-14,"Melbourne, Victoria, Australia", Australia,Red,False,Middleweight,Australia,Steve Montgomery,United States of America
Richard Walsh,Australia,Steve Kennedy,Australia,2015-11-14,"Melbourne, Victoria, Australia", Australia,Red,False,Welterweight,Australia,Steve Kennedy,Australia
Ben Nguyen,Australia,Ryan Benoit,United States of America,2015-11-14,"Melbourne, Victoria, Australia", Australia,Red,False,Flyweight,Australia,Ryan Benoit,United States of America
Nick Hein,Germany,Yusuke Kasuya,Japan,2015-09-26,"Saitama, Japan", Japan,Red,False,Lightweight,Germany,Yusuke Kasuya,Japan
Paige VanZant,United States of America,Alex Chambers,Australia,2015-09-05,"Las Vegas, Nevada, USA", USA,Red,False,Women's Strawweight,United States of America,Alex Chambers,Australia
Antonio Silva,Brazil,Soa Palelei,Australia,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Heavyweight,Brazil,Soa Palelei,Australia
Peter Sobotta,Germany,Steve Kennedy,Australia,2015-06-20,"Berlin, Berlin, Germany", Germany,Red,False,Welterweight,Germany,Steve Kennedy,Australia
Stipe Miocic,United States of America,Mark Hunt,Australia,2015-05-09,"Adelaide, South Australia, Australia", Australia,Red,False,Heavyweight,United States of America,Mark Hunt,Australia
Brad Tavares,United States of America,Robert Whittaker,Australia,2015-05-09,"Adelaide, South Australia, Australia", Australia,Blue,False,Middleweight,Australia,Brad Tavares,United States of America
Anthony Perosh,Australia,Sean O'Connell,United States of America,2015-05-09,"Adelaide, South Australia, Australia", Australia,Blue,False,Light Heavyweight,United States of America,Anthony Perosh,Australia
Jake Matthews,Australia,James Vick,United States of America,2015-05-09,"Adelaide, South Australia, Australia", Australia,Blue,False,Lightweight,United States of America,Jake Matthews,Australia
Daniel Kelly,Australia,Sam Alvey,United States of America,2015-05-09,"Adelaide, South Australia, Australia", Australia,Blue,False,Middleweight,United States of America,Daniel Kelly,Australia
Bec Rawlings,Australia,Lisa Ellis,United States of America,2015-05-09,"Adelaide, South Australia, Australia", Australia,Red,False,Women's Strawweight,Australia,Lisa Ellis,United States of America
Dylan Andrews,Australia,Bradley Scott,United Kingdom,2015-05-09,"Adelaide, South Australia, Australia", Australia,Blue,False,Middleweight,United Kingdom,Dylan Andrews,Australia
Alex Chambers,Australia,Kailin Curran,United States of America,2015-05-09,"Adelaide, South Australia, Australia", Australia,Red,False,Women's Strawweight,Australia,Kailin Curran,United States of America
Vik Grujic,Australia,Brendan O'Reilly,Australia,2015-05-09,"Adelaide, South Australia, Australia", Australia,Blue,False,Welterweight,Australia,Vik Grujic,Australia
Alptekin Ozkilic,United States of America,Ben Nguyen,Australia,2015-05-09,"Adelaide, South Australia, Australia", Australia,Blue,False,Flyweight,Australia,Alptekin Ozkilic,United States of America
Alan Jouban,United States of America,Richard Walsh,Australia,2015-02-28,"Los Angeles, California, USA", USA,Red,False,Welterweight,United States of America,Richard Walsh,Australia
Masio Fullen,Mexico,Alex Torres,Australia,2015-02-28,"Los Angeles, California, USA", USA,Red,False,Featherweight,Mexico,Alex Torres,Australia
Daniel Kelly,Australia,Patrick Walsh,United States of America,2015-02-14,"Broomfield, Colorado, USA", USA,Red,False,Middleweight,Australia,Patrick Walsh,United States of America
Bec Rawlings,Australia,Heather Jo Clark,United States of America,2014-12-12,"Las Vegas, Nevada, USA", USA,Blue,False,Women's Strawweight,United States of America,Bec Rawlings,Australia
Aisling Daly,Ireland,Alex Chambers,Australia,2014-12-12,"Las Vegas, Nevada, USA", USA,Red,False,Women's Strawweight,Ireland,Alex Chambers,Australia
Fabricio Werdum,United States of America,Mark Hunt,Australia,2014-11-15,"Mexico City, Distrito Federal, Mexico", Mexico,Red,True,Heavyweight,United States of America,Mark Hunt,Australia
Robert Whittaker,Australia,Clint Hester,United States of America,2014-11-07,"Sydney, New South Wales, Australia", Australia,Red,False,Middleweight,Australia,Clint Hester,United States of America
Soa Palelei,Australia,Walt Harris,United States of America,2014-11-07,"Sydney, New South Wales, Australia", Australia,Red,False,Heavyweight,Australia,Walt Harris,United States of America
Jake Matthews,Australia,Vagner Rocha,United States of America,2014-11-07,"Sydney, New South Wales, Australia", Australia,Red,False,Lightweight,Australia,Vagner Rocha,United States of America
Anthony Perosh,Australia,Guto Inocente,United States of America,2014-11-07,"Sydney, New South Wales, Australia", Australia,Red,False,Light Heavyweight,Australia,Guto Inocente,United States of America
Dylan Andrews,Australia,Sam Alvey,United States of America,2014-11-07,"Sydney, New South Wales, Australia", Australia,Blue,False,Middleweight,United States of America,Dylan Andrews,Australia
Richie Vaculik,Australia,Louis Smolka,United States of America,2014-11-07,"Sydney, New South Wales, Australia", Australia,Blue,False,Flyweight,United States of America,Richie Vaculik,Australia
Vik Grujic,Australia,Chris Clements,Canada,2014-11-07,"Sydney, New South Wales, Australia", Australia,Blue,False,Welterweight,Canada,Vik Grujic,Australia
Luke Zachrich,United States of America,Daniel Kelly,Australia,2014-11-07,"Sydney, New South Wales, Australia", Australia,Blue,False,Middleweight,Australia,Luke Zachrich,United States of America
Mark Hunt,Australia,Roy Nelson,United States of America,2014-09-20,"Saitama, Japan", Japan,Red,False,Heavyweight,Australia,Roy Nelson,United States of America
Kiichi Kunimoto,Japan,Richard Walsh,Australia,2014-09-20,"Saitama, Japan", Japan,Red,False,Welterweight,Japan,Richard Walsh,Australia
Zhang Lipeng,China,Brendan O'Reilly,Australia,2014-08-23,"Macau, China", China,Red,False,Lightweight,China,Brendan O'Reilly,Australia
James Te Huna,Australia,Nate Marquardt,United States of America,2014-06-28,"Auckland, New Zealand", New Zealand,Blue,False,Middleweight,United States of America,James Te Huna,Australia
Soa Palelei,Australia,Jared Rosholt,United States of America,2014-06-28,"Auckland, New Zealand", New Zealand,Blue,False,Heavyweight,United States of America,Soa Palelei,Australia
Robert Whittaker,Australia,Mike Rhodes,United States of America,2014-06-28,"Auckland, New Zealand", New Zealand,Red,False,Welterweight,Australia,Mike Rhodes,United States of America
Jake Matthews,Australia,Dashon Johnson,United States of America,2014-06-28,"Auckland, New Zealand", New Zealand,Red,False,Lightweight,Australia,Dashon Johnson,United States of America
Richie Vaculik,Australia,Roldan Sangcha-an,Phillipines,2014-06-28,"Auckland, New Zealand", New Zealand,Red,False,Flyweight,Australia,Roldan Sangcha-an,Phillipines
Chris Indich,Australia,Vik Grujic,Australia,2014-06-28,"Auckland, New Zealand", New Zealand,Blue,False,Welterweight,Australia,Chris Indich,Australia
Soa Palelei,Australia,Ruan Potts,South Africa,2014-05-10,"Cincinnati, Ohio, USA", USA,Red,False,Heavyweight,Australia,Ruan Potts,South Africa
Justin Salas,United States of America,Ben Wall,Australia,2014-05-10,"Cincinnati, Ohio, USA", USA,Red,False,Lightweight,United States of America,Ben Wall,Australia
Nordine Taleb,Canada,Vik Grujic,Australia,2014-04-16,"Quebec City, Quebec, Canada", Canada,Red,False,Middleweight,Canada,Vik Grujic,Australia
Richard Walsh,Australia,Chris Indich,Australia,2014-04-16,"Quebec City, Quebec, Canada", Canada,Red,False,Welterweight,Australia,Chris Indich,Australia
Robert Whittaker,Australia,Stephen Thompson,United States of America,2014-02-22,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,United States of America,Robert Whittaker,Australia
Max Holloway,United States of America,Will Chope,Australia,2014-01-04,"Singapore, Singapore", Singapore,Red,False,Featherweight,United States of America,Will Chope,Australia
Mauricio Rua,Brazil,James Te Huna,Australia,2013-12-06,"Brisbane, Queensland, Australia", Australia,Red,False,Light Heavyweight,Brazil,James Te Huna,Australia
Ryan Bader,United States of America,Anthony Perosh,Australia,2013-12-06,"Brisbane, Queensland, Australia", Australia,Red,False,Light Heavyweight,United States of America,Anthony Perosh,Australia
Pat Barry,United States of America,Soa Palelei,Australia,2013-12-06,"Brisbane, Queensland, Australia", Australia,Blue,False,Heavyweight,Australia,Pat Barry,United States of America
Dylan Andrews,Australia,Clint Hester,United States of America,2013-12-06,"Brisbane, Queensland, Australia", Australia,Blue,False,Middleweight,United States of America,Dylan Andrews,Australia
Richie Vaculik,Australia,Justin Scoggins,United States of America,2013-12-06,"Brisbane, Queensland, Australia", Australia,Blue,False,Flyweight,United States of America,Richie Vaculik,Australia
Ben Wall,Australia,Alex Garcia,Dominican Republic,2013-12-06,"Brisbane, Queensland, Australia", Australia,Blue,False,Welterweight,Dominican Republic,Ben Wall,Australia
George Sotiropoulos,Australia,KJ Noons,United States of America,2013-10-19,"Houston, Texas, USA", USA,Blue,False,Lightweight,United States of America,George Sotiropoulos,Australia
Soa Palelei,Australia,Nikita Krylov,Russia,2013-08-31,"Milwaukee, Wisconsin, USA", USA,Red,False,Heavyweight,Australia,Nikita Krylov,Russia
Court McGee,United States of America,Robert Whittaker,Australia,2013-08-28,"Indianapolis, Indiana, USA", USA,Red,False,Welterweight,United States of America,Robert Whittaker,Australia
Dylan Andrews,Australia,Papy Abedi,Sweden,2013-08-28,"Indianapolis, Indiana, USA", USA,Red,False,Middleweight,Australia,Papy Abedi,Sweden
Zak Cummings,United States of America,Benny Alloway,Australia,2013-08-28,"Indianapolis, Indiana, USA", USA,Red,False,Welterweight,United States of America,Benny Alloway,Australia
Vinny Magalhaes,United States of America,Anthony Perosh,Australia,2013-08-03,"Rio de Janeiro, Brazil", Brazil,Blue,False,Light Heavyweight,Australia,Vinny Magalhaes,United States of America
Junior Dos Santos,Brazil,Mark Hunt,Australia,2013-05-25,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,Brazil,Mark Hunt,Australia
Glover Teixeira,United States of America,James Te Huna,Australia,2013-05-25,"Las Vegas, Nevada, USA", USA,Red,False,Light Heavyweight,United States of America,James Te Huna,Australia
Colton Smith,United States of America,Robert Whittaker,Australia,2013-05-25,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,Australia,Colton Smith,United States of America
Dylan Andrews,Australia,Jimmy Quinlan,United States of America,2013-04-13,"Las Vegas, Nevada, USA", USA,Red,False,Middleweight,Australia,Jimmy Quinlan,United States of America
Benny Alloway,Australia,Ryan LaFlare,United States of America,2013-04-06,"Stockholm, Sweden", Sweden,Blue,False,Welterweight,United States of America,Benny Alloway,Australia
Stefan Struve,Netherlands,Mark Hunt,Australia,2013-03-02,"Saitama, Japan", Japan,Blue,False,Heavyweight,Australia,Stefan Struve,Netherlands
James Te Huna,Australia,Ryan Jimmo,Canada,2013-02-16,"London, England, United Kingdom", United Kingdom,Red,False,Light Heavyweight,Australia,Ryan Jimmo,Canada
George Sotiropoulos,Australia,Ross Pearson,United Kingdom,2012-12-14,"Gold Coast, Queensland, Australia", Australia,Blue,False,Lightweight,United Kingdom,George Sotiropoulos,Australia
Robert Whittaker,Australia,Bradley Scott,United Kingdom,2012-12-14,"Gold Coast, Queensland, Australia", Australia,Red,True,Welterweight,Australia,Bradley Scott,United Kingdom
Benny Alloway,Australia,Manuel Rodriguez,Australia,2012-12-14,"Gold Coast, Queensland, Australia", Australia,Red,False,Welterweight,Australia,Manuel Rodriguez,Australia
Anthony Perosh,Australia,Ryan Jimmo,Canada,2012-07-21,"Calgary, Alberta, Canada", Canada,Blue,False,Light Heavyweight,Canada,Anthony Perosh,Australia
James Te Huna,Australia,Joey Beltran,United States of America,2012-07-11,"San Jose, California, USA", USA,Red,False,Light Heavyweight,Australia,Joey Beltran,United States of America
James Te Huna,Australia,Aaron Rosa,United States of America,2012-03-02,"Sydney, New South Wales, Australia", Australia,Red,False,Light Heavyweight,Australia,Aaron Rosa,United States of America
Anthony Perosh,Australia,Nick Penner,Canada,2012-03-02,"Sydney, New South Wales, Australia", Australia,Red,False,Light Heavyweight,Australia,Nick Penner,Canada
Mark Hunt,Australia,Cheick Kongo,France,2012-02-25,"Saitama, Japan", Japan,Red,False,Heavyweight,Australia,Cheick Kongo,France
Cyrille Diabate,France,Anthony Perosh,Australia,2011-11-05,"Birmingham, England, United Kingdom", United Kingdom,Blue,False,Light Heavyweight,Australia,Cyrille Diabate,France
Ben Rothwell,United States of America,Mark Hunt,Australia,2011-09-24,"Denver, Colorado, USA", USA,Blue,False,Heavyweight,Australia,Ben Rothwell,United States of America
James Te Huna,Australia,Ricardo Romero,United States of America,2011-09-24,"Denver, Colorado, USA", USA,Red,False,Light Heavyweight,Australia,Ricardo Romero,United States of America
George Sotiropoulos,Australia,Rafael Dos Anjos,United States of America,2011-07-02,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,United States of America,George Sotiropoulos,Australia
George Sotiropoulos,Australia,Dennis Siver,Germany,2011-02-26,"Sydney, New South Wales, Australia", Australia,Blue,False,Lightweight,Germany,George Sotiropoulos,Australia
Alexander Gustafsson,Sweden,James Te Huna,Australia,2011-02-26,"Sydney, New South Wales, Australia", Australia,Red,False,Light Heavyweight,Sweden,James Te Huna,Australia
Tom Blackledge,United Kingdom,Anthony Perosh,Australia,2011-02-26,"Sydney, New South Wales, Australia", Australia,Blue,False,Light Heavyweight,Australia,Tom Blackledge,United Kingdom
Mark Hunt,Australia,Chris Tuchscherer,United States of America,2011-02-26,"Sydney, New South Wales, Australia", Australia,Red,False,Heavyweight,Australia,Chris Tuchscherer,United States of America
George Sotiropoulos,Australia,Joe Lauzon,United States of America,2010-11-20,"Auburn Hills, Michigan, USA", USA,Red,False,Lightweight,Australia,Joe Lauzon,United States of America
Mark Hunt,Australia,Sean McCorkle,United States of America,2010-09-25,"Indianapolis, Indiana, USA", USA,Blue,False,Heavyweight,United States of America,Mark Hunt,Australia
George Sotiropoulos,Australia,Kurt Pellegrino,United States of America,2010-07-03,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,Australia,Kurt Pellegrino,United States of America
Muhammad Naimov,Tajikistan,Kaan Ofli,Australia,2025-02-02,"Riyadh, Riyadh, Saudi Arabia",Saudi Arabia,Muhammad Naimov,False,Featherweight,Tajikistan,Kaan Ofli,Australian
Tallison Teixeira,Australia,Justin Tafa,Australia,2025-02-09,"Sydney, New South Wales, Australia",Australia,Tallison Teixeira,False,Heavyweight,Australia,Justin Tafa,Australia
Jimmy Crute,Australian,Rodolfo Bellato,Brazil,2025-02-09,"Sydney, New South Wales, Australia",Australia,Jimmy Crute,False,Light Heavyweight,Australia,Rodolfo Bellato,Brazil
Jake Matthews,Australian,Francisco Prado,Argentina,2025-02-09,"Sydney, New South Wales, Australia",Australia,Jake Matthews,False,Welterweight,Australia,Francisco Prado,Argentina
Jack Jenkins,Australia,Gabriel Santos,Brazil,2025-02-09,"Sydney, New South Wales, Australia",Australia,Gabriel Santos,False,Featherweight,Brazil,Jack Jenkins,Australia
Tom Nolan,Australia,Viacheslav Borshchev,United States of America,2025-02-09,"Sydney, New South Wales, Australia",Australia,False,Lightweight,Australian,Viacheslav Borshchev,United States of America
Colby Thicknesse,Australia,Aleksandre Topuria,Spain,2025-02-09,"Sydney, New South Wales, Australia",Australia,Aleksandre Topuria,False,Bantamweight,Spain,Colby Thicknesse,Australia
Jonathan Micallef,Australia,Kevin Jousset,New Zealand,2025-02-09,"Sydney, New South Wales, Australia",Australia,Jonathan Micallef,False,Welterweight,Australia,Kevin Jousset,New Zealand
Quillan Salkilld,Australia,Anshul Jubli,India,2025-02-09,"Sydney, New South Wales, Australia",Australia,Quillan Salkilld,False,Lightweight,Australia,Anshul Jubli,India
Brandon Moreno,Mexico,Steve Erceg,Australia,2025-03-30,"Mexico City, Distrito Federal, Mexico",Mexico,Brandon Moreno,False,Flyweight,Mexico,Steve Erceg,Australia
Alexander Volkanovski,Australia,Diego Lopes,Mexico,2025-04-13,"Miami, Florida, USA",USA,Alexander Volkanovski,True,Featherweight,Australian,Diego Lopes,Mexico
Jack Della Maddalena,Australian,Belal Muhammad,United States of America,2025-05-11,"Montreal, Quebec, Canada",Canada,Jack Della Maddalena,True,Welterweight,Australian,Belal Muhammad,United States of America
Quillan Salkilld,Australia,Yanal Ashmouz,Israel,2025-06-08,"Newark, New Jersey, USA",USA,Quillan Salkilld,False,Lightweight,Australia,Yanal Ashmouz,Israel
Junior Tafa,Australia,Tuco Tokkos,United Kingdom,2025-07-13,"Nashvile, Tennessee, USA",USA,Tuco Tokkos,False,Light Heavyweight,United Kingdom,Junior Tafa,Australia
Jake Matthews,Australia,Chidi Njokuani,United States of America,2025-07-13,"Nashvile, Tennessee, USA",USA,Jake Matthews,False,Welterweight,Australia,Chidi Njokuani,United States of America
Jimmy Crute,Australian,Marcin Prachnio,Netherlands,2025-07-20,"New Orleans, Louisiana, USA",USA,Jimmy Crute,False,Light Heavyweight,Australian,Marcin Prachnio,Netherlands
Robert Whittaker,Australia,Reinier de Ridder,Netherlands,2025-07-27,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Reinier de Ridder,False,Middleweight,Netherlands,Robert Whittaker,Australia
Steve Erceg,Australia,Ode Osbourne,United States of America,2025-08-10,"Las Vegas, Nevada, USA",USA,Steve Erceg,False,Bantamweight,Australia,Ode Osbourne,United States of America
Jimmy Crute,Australian,Ivan Erslan,Croatia,2025-09-28,"Perth, Western Australia, Australia",Australia,Jimmy Crute,False,Light Heavyweight,Australian,Ivan Erslan,Croatia
Jack Jenkins,Australia,Ramon Taveras,United States of America,2025-09-28,"Perth, Western Australia, Australia",Australia,Jack Jenkins,False,Featherweight,Australia,Ramon Taveras,United States of America
Jake Matthews,Australian,Neil Magny,United States of America,2025-09-28,"Perth, Western Australia, Australia",Australia,Neil Magny,False,Welterweight,United States of America,Jake Matthews,Australian
Tom Nolan,Australian,Charlie Campbell,United States of America,2025-09-28,"Perth, Western Australia, Australia",Australia,Tom Nolan,False,Lightweight,Australian,Charlie Campbell,United States of America
Jamie Mullarkey,Australian,Rolando Bedoya,Peru,2025-09-28,"Perth, Western Australia, Australia",Australia,Jamie Mullarkey,False,Lightweight,Australian,Rolando Bedoya,Peru
Colby Thicknesse,Australia,Josias Musasa,Democratic Republic of the Congo,2025-09-28,"Perth, Western Australia, Australia",Australia,Colby Thicknesse,False,Bantamweight,Australia,Josias Musasa,Democratic Republic of the Congo
Brando Pericic,Australian,Elisha Ellison,United States of America,2025-09-28,"Perth, Western Australia, Australia",Australia,Brando Pericic,False,Heavyweight,Australian,Elisha Ellison,United States of America
