RedFighter,RedNationality,BlueFighter,BlueNationality,Date,Location,Country,Winner,TitleBout,WeightClass,WinnerNationality,Loser,LoserNationality
Nikolas Motta,United States of America,Tom Nolan,Australia,2024-01-13,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,United States of America,Tom Nolan,Australia
Nasrat Haqparast,Morocco,Jamie Mullarkey,Australia,2023-12-09,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,Morocco,Jamie Mullarkey,Australia
HyunSung Park,South Korea,Shannon Ross,Australia,2023-12-09,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,South Korea,Shannon Ross,Australia
Michael Morales,Mexico,Jake Matthews,Australia,2023-11-18,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,Mexico,Jake Matthews,Australia
Steve Erceg,Australia,Alessandro Costa,Brazil,2023-11-11,"New York City, New York, USA",USA,Red,False,Flyweight,Australia,Alessandro Costa,Brazil
Islam Makhachev,Russia,Alexander Volkanovski,Australia,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,True,Lightweight,Russia,Alexander Volkanovski,Australia
Jacob Malkoun,Australia,Cody Brundage,United States of America,2023-09-23,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,United States of America,Jacob Malkoun,Australia
Kevin Holland,United States of America,Jack Della Maddalena,Australia,2023-09-16,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,Australia,Kevin Holland,United States of America
Tai Tuivasa,Australia,Alexander Volkov,Russia,2023-09-09,"Sydney, New South Wales, Australia",Australia,Blue,False,Heavyweight,Russia,Tai Tuivasa,Australia
Justin Tafa,Australia,Austen Lane,United States of America,2023-09-09,"Sydney, New South Wales, Australia",Australia,Red,False,Heavyweight,Australia,Austen Lane,United States of America
Tyson Pedro,Australia,Anton Turkalj,Turkey,2023-09-09,"Sydney, New South Wales, Australia",Australia,Red,False,Light Heavyweight,Australia,Anton Turkalj,Turkey
Jack Jenkins,Australia,Chepe Mariscal,United States of America,2023-09-09,"Sydney, New South Wales, Australia",Australia,Blue,False,Featherweight,United States of America,Jack Jenkins,Australia
Jamie Mullarkey,Australia,John Makdessi,Canada,2023-09-09,"Sydney, New South Wales, Australia",Australia,Red,False,Lightweight,Australia,John Makdessi,Canada
Ange Loosa,Australia,Rhys McKee,United Arab Emirates,2023-09-02,"Paris, Ile-de-France, France",France,Red,False,Welterweight,Australia,Rhys McKee,United Arab Emirates
Junior Tafa,Australia,Parker Porter,United States of America,2023-08-26,"Kallang, Singapore",Singapore,Red,False,Heavyweight,Australia,Parker Porter,United States of America
Jake Matthews,Australia,Darrius Flowers,Australia,2023-07-29,"Salt Lake City, Utah, USA",USA,Red,False,Welterweight,Australia,Darrius Flowers,Australia
Lerone Murphy,United Kingdom,Josh Culibao,Australia,2023-07-22,"London, England, United Kingdom",United Kingdom,Red,False,Featherweight,United Kingdom,Josh Culibao,Australia
Jack Della Maddalena,Australia,Bassil Hafez,Australia,2023-07-15,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,Australia,Bassil Hafez,Australia
