Fighter,AvgSigStrLanded,AvgSigStrPct,AvgTDLanded,AvgTDPct,AvgSubAtt,WinsByKO,WinsBySubmission,WinsByDecisionUnanimous
Alexander Volkanovski,32.39,0.588,2.484,0.49,0.235,2.75,0.0,4.062
Islam Makhachev,9.775,0.566,2.914,0.56,0.928,1.0,2.875,2.75
